"communityname","population","state","medIncome","medIncomein000s","PctRecImmig5","PctNotHSGrad","PctUnemployed","PopDens","LemasSwornFT","PctFam2Par","PctPopUnderPov","PctVacMore6Mos","PctShelter","MedYrHousBuilt","new_murdPerPop","new_rapesPerPop","new_robbbPerPop","new_assaultPerPop","new_burglPerPop","new_larcPerPop","new_autoTheftPerPop","new_arsonsPerPop","calc_ViolentCrimesPerPop","calc_nonViolPerPop","totCrimesPerPop"
"Lebanoncity",12183,"NH",32221,32.221,0.71,17.61,3.14,291.4,NA,74.41,6.07,34.31,0.016416317819913,1957,0,8.07,0,137.13,516.25,4694.68,217.79,32.27,145.2,5460.99,5606.19
"Rockledgecity",16023,"FL",34934,34.934,0.57,14.21,5.39,1581.4,NA,77.22,5.75,29.52,0,1972,0,55.52,105.48,399.71,1254.65,4002.66,349.75,11.1,560.71,5618.16,6178.87
"Rogerscity",24692,"AR",26198,26.198,0.34,22.43,3.31,1073.9,NA,78.73,8.72,26.45,0,1976,0,29.18,32.42,142.64,755.34,3938.79,155.61,19.45,204.24,4869.19,5073.43
"Bellairecity",13842,"TX",45892,45.892,0.27,7.59,2.69,3697.1,NA,78.29,3.33,32.6,0,1953,6.69,13.38,160.6,167.29,997.06,2388.92,301.12,6.69,347.96,3693.79,4041.75
"ElCajoncity",88693,"CA",28108,28.108,3.04,21.49,7.07,5943,NA,65.86,12.92,11.03,0.0146573010271386,1970,8.59,45.1,260.94,579.87,1469.01,4634.68,954.64,33.29,894.5,7091.62,7986.12
"MosesLakecity",11235,"WA",23258,23.258,1.86,26.49,6.5,1189.1,NA,75.49,15.28,38.94,0,1963,14.57,145.72,21.86,961.75,1581.06,7103.83,400.73,58.29,1143.9,9143.91,10287.81
"WestMemphiscity",28259,"AR",22052,22.052,0.04,37.55,8.34,1900.7,NA,60.12,22.94,28.75,0.0460030432782476,1967,25.12,86.13,434.25,179.44,707.01,2860.32,854.15,0,724.94,4421.48,5146.42
"Eunicecity",11162,"LA",14874,14.874,0,44.84,13.93,2323.5,NA,67.27,38.27,47.8,0,1963,0,17.4,78.28,1391.67,1852.66,2583.28,278.33,8.7,1487.35,4722.97,6210.32
"Laredocity",122899,"TX",18395,18.395,5.27,51.16,11.24,3608.7,188,75.51,37.29,42.25,0.00325470508303566,1972,13.75,4.58,106.72,564.37,1126.13,4089.41,680.91,52.38,689.42,5948.83,6638.25
"Amsterdamcity",20714,"NY",22166,22.166,1.14,31.33,8.97,3353.7,NA,65.74,13.5,59.05,0.00965530559042194,1939,0,14.98,14.98,19.97,639.11,1567.81,84.88,21.08,49.93,2312.88,2362.81
"Gorhamtown",11856,"ME",36618,36.618,0.13,13.97,5.73,225.9,NA,80.48,4.05,42.54,0,1968,0,0,0,16.72,284.28,568.56,66.89,0,16.72,919.73,936.45
"RockSpringscity",19050,"WY",34372,34.372,0,17.5,5.13,998.4,NA,78.88,8.87,52.42,0.026246719160105,1972,4.92,68.92,29.54,546.45,1048.59,4342.05,374.14,0,649.83,5764.78,6414.61
"Oakdalecity",11961,"CA",27230,27.23,1.68,30.95,10.34,2853.3,NA,70.31,12.63,21.08,0.0919655547195051,1972,0,28.91,50.6,267.46,1163.8,3628.74,368.66,93.97,346.97,5255.17,5602.14
"Hendersoncity",15655,"NC",18499,18.499,0.31,43.91,7.91,2134,NA,49.68,24.07,45.45,0,1960,36.77,18.38,447.33,1268.46,3848.28,6893.8,625.04,61.28,1770.94,11428.4,13199.34
"Norcocity",23302,"CA",51594,51.594,1.21,24.25,5.1,1641.4,NA,82.9,5.34,26.42,0,1970,4.04,16.15,117.11,472.5,1126.73,2237.3,1033.84,60.58,609.8,4458.45,5068.25
"Greenvillecity",45226,"MS",18060,18.06,0.18,38.54,12.45,1672.6,NA,52.47,31.96,37.26,0.0132667049927033,1965,35.96,76.4,148.31,298.88,3921.35,5912.36,417.98,128.09,559.55,10379.78,10939.33
"SanCarloscity",26167,"CA",54658,54.658,1.33,8.38,2.43,4486.8,NA,82.5,2.73,21.09,0,1957,3.54,3.54,85.06,113.41,542.25,2076.84,191.38,0,205.55,2810.47,3016.02
"SanAngelocity",84474,"TX",23534,23.534,0.72,29.08,7.71,1702.6,155,74.97,18.5,34.69,0.284111087435187,1967,8.85,47.57,43.14,412.63,931.46,3687.11,192.49,21.08,512.19,4832.14,5344.33
"Barbertoncity",27623,"OH",21688,21.688,0.07,31.19,8.67,3513.5,NA,66.86,16.93,42.84,0,1949,0,25.08,78.84,630.69,738.19,3547.62,318.93,68.09,734.61,4672.83,5407.44
"Pontiaccity",71166,"MI",21962,21.962,0.34,37.61,14.4,3434.7,159,46.61,26.67,37.78,0.185481831211534,1954,27.27,26.92,607.12,2038.09,2109.86,2818.88,1254.43,86.12,2699.4,6269.29,8968.69
"Suffolkcity",52141,"VA",26125,26.125,0.14,36.09,7.06,125.8,NA,67.53,17.28,47.22,0,1967,16.22,66.7,288.42,547.99,1164.49,3558.36,457.86,46.87,919.33,5227.58,6146.91
"Martinsvillecity",16162,"VA",22446,22.446,0.04,37.05,5.68,1423.7,NA,59.28,15.61,47.35,0.105185001856206,1959,12.52,43.81,137.7,488.2,1026.48,6133.82,337.99,56.33,682.23,7554.62,8236.85
"Bricktownship",66473,"NJ",38742,38.742,0.56,20.23,5.55,2441,NA,84.22,3.74,60.24,0.0255742933221007,1972,2.92,13.15,40.9,74.5,606.2,1773.32,143.15,20.45,131.47,2543.12,2674.59
"LagunaBeachcity",23170,"CA",53419,53.419,2.32,5.87,1.84,2575.6,NA,76.69,6.14,15.52,0.0258955545964609,1960,0,20.8,91.5,682.11,1713.6,3635.15,578.13,12.48,794.41,5939.36,6733.77
"Robstowncity",12849,"TX",16180,16.18,0.16,61.8,12.26,1345.2,NA,72.16,37.04,75.63,0,1960,7.38,7.38,22.15,383.99,2230.1,2392.56,413.53,59.08,420.9,5095.27,5516.17
"Wyomingcity",63891,"MI",31103,31.103,0.58,21.43,5.13,2539,NA,76.5,7.07,19.26,0,1962,1.55,26.92,180.07,377.21,970.18,3469.37,409.8,20.18,585.75,4869.53,5455.28
"Hastingscity",15440,"MN",36091,36.091,0.26,18.63,5.18,1641.9,NA,79.12,5,20.83,0,1968,0,26.92,12.1,96.82,726.17,2232.98,242.06,6.05,135.84,3207.26,3343.1
"Paragouldcity",18540,"AR",19985,19.985,0,39.87,7.01,616.9,NA,76.53,18.82,35.38,0.0377562028047465,1972,4.65,41.81,9.29,37.16,622.47,2331.96,162.59,4.65,92.91,3121.67,3214.58
"BeverlyHillscity",31971,"CA",54348,54.348,7.76,10.57,3.8,5437.2,126,75.73,6.6,31.23,0,1949,3,24.03,843.97,216.25,1417.63,5271.06,663.76,42.05,1087.25,7394.5,8481.75
"UniversityHeightscity",14790,"OH",43376,43.376,1.26,9.16,4.65,7812.2,NA,83.94,2.9,42.96,0,1948,0,13.97,97.77,125.71,432.99,1298.97,216.5,0,237.45,1948.46,2185.91
"Marioncity",34075,"OH",22439,22.439,0.1,30.32,10.98,4102.3,NA,70.49,16.85,57.42,0.0117388114453412,1945,2.88,46.03,106.44,57.53,1688.58,4409.86,296.29,8.63,212.88,6403.36,6616.24
"Toledocity",332943,"OH",24819,24.819,0.76,26.84,9.92,3988.5,683,62.64,19.09,48.67,0.0780914450821912,1951,13.89,110.19,492.02,368.86,1698.29,4707.51,1394.26,110.19,984.96,7910.25,8895.21
"Philadelphiacity",1585577,"PA",24603,24.603,1.61,35.69,9.62,11326,6523,53.45,20.27,59.26,0.215442075660785,1939,28.7,51.31,753.74,445.86,988.14,2561.1,1554.73,149.17,1279.61,5253.14,6532.75
"Newtoncity",82585,"MA",59719,59.719,2.85,8.34,3.94,4413,NA,84.76,4.33,38.58,0.237331234485681,1939,1.17,12.82,31.46,210.9,558.12,1709.31,288.96,0,256.35,2556.39,2812.74
"OrmondBeachcity",29721,"FL",32704,32.704,0.43,15.77,4.21,1137.7,NA,76.18,6.72,27.37,0,1975,0,31.02,74.45,37.23,908.95,2940.9,241.97,0,142.7,4091.82,4234.52
"Lynchburgcity",66049,"VA",23726,23.726,0.72,30.52,5.97,1290.5,138,64,16.45,40.48,0.0711592908295356,1960,4.47,67,159.32,522.63,833.83,3448.48,273.97,74.45,753.42,4630.73,5384.15
"Clintoncity",21847,"MS",36770,36.77,0.96,13.22,3.37,885.5,NA,76.53,9.48,26.7,0,1976,8.76,0,61.34,52.58,740.51,1906.06,52.58,21.91,122.68,2721.06,2843.74
"Andersoncity",26184,"SC",19433,19.433,0.14,37.36,7.46,2042.4,NA,56.04,19.89,49.4,0.0458295142071494,1961,26.85,50.34,449.74,1322.37,1906.36,4098,459.81,10.07,1849.3,6474.24,8323.54
"Mesquitecity",101484,"TX",35934,35.934,1.02,18.76,4.74,2286.9,160,77.5,7.73,40.27,0,1977,4.32,28.5,118.34,415.48,822.715,4475.25,657.34,80.33,566.64,6035.635,6602.275
"ParkForestvillage",24656,"IL",36995,36.995,0.39,13.06,4.94,4826.9,NA,71.03,4.89,16.1,0,1955,7.89,26.92,98.58,118.29,488.94,2062.22,445.57,15.77,251.68,3012.5,3264.18
"ChippewaFallscity",12727,"WI",23056,23.056,0,25.73,6.85,1249.9,NA,72.22,11.12,39.41,0,1952,0,14.83,7.42,29.66,370.81,2862.65,111.24,29.66,51.91,3374.36,3426.27
"Beavercreekcity",33626,"OH",49143,49.143,0.73,11.01,3.13,1260.7,NA,89.64,3.51,51.43,0,1968,0,7.91,52.76,34.3,527.63,2717.32,184.67,68.59,94.97,3498.21,3593.18
"Keenecity",22430,"NH",31235,31.235,0.57,16.34,6.42,580.3,NA,74.41,8.06,25.78,0.00445831475702185,1954,0,102.18,17.77,302.1,688.61,3709.63,106.62,62.2,422.05,4567.06,4989.11
"Springfieldtownship",13352,"OH",32713,32.713,0.04,25.83,5.41,369.6,NA,82.16,8.79,40.91,0.0299580587177951,1957,0,37.91,96.04,318.45,818.86,2446.48,90.98,32.86,452.4,3389.18,3841.58
"Swissvaleborough",10637,"PA",23773,23.773,0.36,21.74,6.62,8564.4,NA,63.45,12.53,53.35,0,1940,18.94,47.34,170.42,170.42,615.41,1893.58,1145.62,85.21,407.12,3739.82,4146.94
"Knoxvillecity",165121,"TN",19923,19.923,0.88,29.21,7.11,2063.3,302,62.09,20.8,33.72,0.214388236505351,1960,8.14,59.32,346.59,1279.37,1638.17,3504.88,935.68,100.6,1693.42,6179.33,7872.75
"Kernersvilletown",10836,"NC",25649,25.649,0.55,25.51,5.99,1451,NA,66.54,8.46,21.66,0,1977,7.46,7.46,126.74,320.58,1118.32,4518,313.13,7.46,462.24,5956.91,6419.15
"Bloomingtoncity",86335,"MN",41736,41.736,0.71,8.76,3.28,2345.2,NA,80.21,3.7,22.61,0,1967,4.65,26.92,75.59,119.79,831.52,4254.13,484.96,21.08,226.95,5591.69,5818.64
"ScotchPlainstownship",21160,"NJ",58194,58.194,1.56,12.02,3.75,2250.1,NA,86.47,1.49,46.46,0,1957,4.61,13.82,55.27,41.45,469.79,1271.19,409.91,9.21,115.15,2160.1,2275.25
"Newingtontown",29208,"CT",45481,45.481,0.82,20.02,3.44,2139.7,NA,82.24,1.79,36.79,0,1964,0,13.68,10.26,54.72,492.44,2681.08,376.17,3.42,78.66,3553.11,3631.77
"Moberlycity",12839,"MO",20569,20.569,0.18,31.36,8.52,1227.9,NA,71.13,18.27,53.4,0,1954,7.88,63.04,39.4,874.7,740.74,3853.43,165.48,7.88,985.02,4767.53,5752.55
"Sandycity",75058,"UT",43971,43.971,0.39,6.93,3.56,3625.3,NA,89.17,4.21,32.31,0,1978,0,14.89,32.06,84.74,774.07,2810,125.96,5.73,131.69,3715.76,3847.45
"Wheatoncity",51464,"IL",52208,52.208,1.46,7.8,2.42,4486.1,NA,87.46,5.12,18.6,0,1971,0,26.92,16.62,44.33,406.32,1939.24,44.33,5.54,87.87,2395.43,2483.3
"WhiteLaketownship",22608,"MI",42549,42.549,0.18,16.57,6.2,648.8,NA,82.93,4.36,47.66,0,1970,0,26.92,12.92,262.61,675.91,2660.58,202.34,38.75,302.45,3577.58,3880.03
"Chickashacity",14988,"OK",18357,18.357,0.22,33.47,9.5,1057.3,NA,68.5,23.15,67.73,0.113424072591406,1957,26.23,72.14,98.37,937.77,1895.21,3003.48,347.56,45.9,1134.51,5292.15,6426.66
"Tucsoncity",405390,"AZ",21748,21.748,3.05,21.39,8.12,2503.8,745,65.86,20.16,22.06,0.107797429635659,1971,9.78,69.78,198.68,691.36,1636.29,7128.3,1142.94,36,969.6,9943.53,10913.13
"Gallowaytownship",23330,"NJ",41944,41.944,0.54,18.12,4.1,249.1,NA,79.01,4.35,38.3,0,1982,4.19,20.94,41.87,184.24,1113.81,2332.3,192.61,29.31,251.24,3668.03,3919.27
"Sweetwatercity",11967,"TX",19157,19.157,0.23,41.2,8.51,1329.7,NA,75.23,23.02,55.2,0,1956,8.19,57.36,73.75,794.82,1753.52,3695.51,245.82,40.97,934.12,5735.82,6669.94
"Portsmouthcity",25925,"NH",30591,30.591,0.57,11.2,5.12,1602.6,NA,75.93,6.68,44.33,0.250723240115718,1950,0,148.32,66.98,162.67,818.14,3353.91,334.91,43.06,377.97,4550.02,4927.99
"Hulltown",10466,"MA",37683,37.683,0.45,14.63,7.31,3397.6,NA,70.43,8.02,56.4,0.5350659277661,1945,0,53.92,0,835.73,943.57,907.62,161.75,26.96,889.65,2039.9,2929.55
"Scotttownship",17118,"PA",34644,34.644,0.32,16.84,3.05,4180.8,NA,83.2,4.13,30.03,0,1958,5.74,5.74,11.49,17.23,356.12,1010.91,269.96,17.23,40.2,1654.22,1694.42
"Pittsfieldtownship",17668,"MI",34639,34.639,2.62,12.12,3.78,606.6,NA,74.43,9.33,26.49,0,1975,0,26.92,236.86,275.42,1410.16,6626.64,567.37,38.56,539.2,8642.73,9181.93
"Duncanvillecity",35748,"TX",41028,41.028,0.38,12.99,4.57,3057.5,NA,78.22,3.78,24.62,0,1975,0,51.17,150.83,263.95,1115.06,3199.74,705.67,43.09,465.95,5063.56,5529.51
"Mexicocity",11290,"MO",23744,23.744,0.19,30.01,4.48,1098.7,NA,71.5,14.35,50.58,0,1958,8.83,8.83,26.48,105.91,661.96,1588.7,88.26,0,150.05,2338.92,2488.97
"NewProvidenceborough",11439,"NJ",62420,62.42,1.85,9.49,2.71,3001.1,NA,90.92,2.45,38.1,0,1957,0,0,24.78,24.78,99.12,768.21,148.69,16.52,49.56,1032.54,1082.1
"Barnstabletown",40949,"MA",33411,33.411,1.38,11.27,7.22,658.2,NA,71.82,6.78,45.5,0.666682947080515,1973,4.67,51.39,67.74,1688.82,1422.53,1555.67,298.99,0,1812.62,3277.19,5089.81
"Rutherfordborough",17790,"NJ",46499,46.499,3.57,16.92,4.17,6118.4,NA,84.36,3.68,42.16,0.0281056773468241,1939,0,11.23,28.07,89.83,280.71,1381.09,421.06,11.23,129.13,2094.09,2223.22
"Portlandcity",437319,"OR",25592,25.592,2.3,17.1,6.16,3386.2,769,66.43,14.53,30.54,0.355118346104331,1947,12.65,104.44,502.59,1221.7,1710.56,5890.68,1844.43,131.7,1841.38,9577.37,11418.75
"Manassascity",27957,"VA",46674,46.674,2.19,15.79,3.3,2695.4,NA,81.33,3.79,21.3,0.0250384519082877,1981,0,31.06,170.84,99.4,437.98,3314.39,267.14,18.64,301.3,4038.15,4339.45
"Torrancecity",133107,"CA",47204,47.204,7.14,12.38,3.95,6260.9,194,79.26,5.15,16.65,0,1961,8.64,21.6,309.54,280.75,1138.83,2948.59,1226.66,38.87,620.53,5352.95,5973.48
"SouthJordancity",12220,"UT",43804,43.804,0,9.1,3.21,585.8,NA,93.07,3.21,60.71,0,1979,0,11.57,17.35,161.92,728.66,2307.43,266.02,0,190.84,3302.11,3492.95
"RedwoodCitycity",66072,"CA",42962,42.962,7.09,18.45,3.82,3349.1,NA,72.39,8.3,15.81,0.137728538563991,1961,4.4,22.02,155.59,544.58,753.02,2753.72,664.94,2.94,726.59,4174.62,4901.21
"Lancastertownship",13187,"PA",35855,35.855,1.34,21.66,3.31,2104.5,NA,77.84,6.27,25.63,0,1961,0,0,52.19,22.37,589.02,2288.99,283.33,22.37,74.56,3183.71,3258.27
"Algonquinvillage",11663,"IL",53665,53.665,0.3,9.45,2.29,2148.7,NA,92.11,1.65,31,0,1980,0,26.92,15.21,53.23,349.81,1528.52,38.02,45.63,95.36,1961.98,2057.34
"Sebastiancity",10205,"FL",26654,26.654,0.31,26.53,5.66,785.2,NA,80.47,6.77,25.05,0,1984,0,17,8.5,314.47,1283.36,2354.24,101.99,0,339.97,3739.59,4079.56
"GrandForkscity",49425,"ND",25456,25.456,0.97,14.24,5.08,3304.7,NA,75.26,14.48,20.51,0.141628730399595,1968,0,37.7,27.78,55.55,464.26,4368.79,386.88,27.78,121.03,5247.71,5368.74
"NewHaventown",130474,"CT",25811,25.811,2.54,28.97,9.25,6679.9,390,45.44,21.29,32.97,1.03009028618729,1943,18.39,108.69,1035.08,964.85,2856.93,6453.8,1566,112.04,2127.01,10988.77,13115.78
"Westwegocity",11218,"LA",18095,18.095,0.63,49.27,8.37,3399.4,NA,62.04,23.81,63.08,0,1959,0,36.38,309.2,463.81,1291.38,4001.46,1309.57,18.19,809.39,6620.6,7429.99
"Doltonvillage",23930,"IL",36724,36.724,0.31,21.38,6.76,5104.5,NA,70.37,4.93,30.35,0,1961,0,26.92,313.81,152.88,864.98,4180.08,1275.35,4.02,493.61,6324.43,6818.04
"Munstertown",19949,"IN",48483,48.483,0.31,12.33,2.81,2553.6,NA,90.61,1.27,29.94,0,1966,14.58,9.72,29.15,145.76,286.66,2419.59,281.8,4.86,199.21,2992.91,3192.12
"Newberrytown",10542,"SC",19063,19.063,0.1,39.06,9.13,1633.9,NA,52,25.22,64.07,0,1961,0,47.14,141.42,1338.74,773.07,4383.9,150.84,9.43,1527.3,5317.24,6844.54
"NorthTonawandacity",34989,"NY",29576,29.576,0.19,20.21,5.64,3344,NA,79.23,6.07,48.63,0,1953,3.04,3.04,27.38,51.71,538.42,1892.07,130.8,9.13,85.17,2570.42,2655.59
"Redlandscity",60394,"CA",37073,37.073,3,15.38,4.78,2398.1,NA,75.19,8.98,19.35,0.152333013213233,1971,7.71,32.38,231.3,456.44,1503.47,2498.07,949.88,24.67,727.83,4976.09,5703.92
"Avondalecity",16169,"AZ",24292,24.292,2.84,42.85,11.09,705.2,NA,67.21,28.22,18.88,0,1976,4.68,42.11,107.61,626.93,2811.83,3714.79,664.36,74.86,781.33,7265.84,8047.17
"Lafayettecity",14548,"CO",34182,34.182,1.56,14.97,3.93,2035.3,NA,75.31,8.43,32.9,0.0618641737695903,1978,0,0,33.89,333.24,626.94,3061.28,158.15,39.54,367.13,3885.91,4253.04
"Oshkoshcity",55006,"WI",25168,25.168,0.63,21.39,4.82,2959.7,NA,75.13,12.63,35.63,0.0236337854052285,1952,8.82,33.52,12.35,100.56,845.07,4631.1,197.59,17.64,155.25,5691.4,5846.65
"Tukwilacity",11874,"WA",30141,30.141,2.51,15.18,4.77,1404.9,NA,64.7,9.33,21.62,0.0168435236651507,1970,23.46,320.61,547.39,742.88,2353.77,19401,2252.11,109.48,1634.34,24116.36,25750.7
"Dublincity",23229,"CA",53710,53.71,1.23,14.13,3.52,2618.2,NA,82.44,4.23,11.05,0,1972,0,3.81,60.9,186.52,456.78,1865.17,232.2,7.61,251.23,2561.76,2812.99
"Breacity",32873,"CA",51253,51.253,3,12.59,3.31,3178,NA,82.69,3.55,16.51,0.0152100508015697,1974,8.61,14.35,146.36,198.01,886.76,4364.92,637.09,45.92,367.33,5934.69,6302.02
"NorthAugustacity",15351,"SC",32877,32.877,0.21,18.08,3.62,904.5,NA,72.42,9.28,28.54,0,1966,0,16.99,101.92,441.65,962.57,2831.1,419,5.66,560.56,4218.33,4778.89
"Tallahasseecity",124773,"FL",23453,23.453,1.47,14.48,5.56,1903.4,288,61.16,22.32,16.91,0.118615405576527,1974,6.63,100.91,581.91,1292,2924.3,7882.35,1521.08,22.1,1981.45,12349.83,14331.28
"Princetonborough",12016,"NJ",43092,43.092,8.32,11.6,3.21,6306.9,NA,78.23,9.64,34.54,0,1939,0,0,33.55,50.33,813.69,4085.23,134.22,8.39,83.88,5041.53,5125.41
"Menomoniecity",13547,"WI",21392,21.392,1.17,19.79,7.56,1161.2,NA,75.39,28.82,39.81,0.0442902487635639,1966,0,13.29,13.29,13.29,717.66,5229.58,232.57,19.93,39.87,6199.74,6239.61
"Sturgiscity",10130,"MI",23642,23.642,0.55,25.24,5.25,1925.9,NA,67.94,11.86,23.32,0,1950,0,26.92,19.08,200.38,543.89,2958.02,152.67,19.08,246.38,3673.66,3920.04
"Alpharettacity",13002,"GA",44335,44.335,1.88,7.51,2.63,659.9,NA,80.28,3.73,16.88,0,1985,0,0,0,60.9,445.03,1592.73,206.12,0,60.9,2243.88,2304.78
"Jeffersontownship",17825,"NJ",48889,48.889,0.16,12.9,2.94,422.4,NA,86.32,2.43,75.92,0,1961,0,0,5.42,64.99,438.67,812.35,86.65,10.83,70.41,1348.5,1418.91
"StevensPointcity",23006,"WI",22194,22.194,2.38,20.01,5.96,1660.1,NA,73.08,21.61,23.3,0.091280535512475,1956,4.66,41.98,0,195.9,732.28,5513.06,144.59,46.64,242.54,6436.57,6679.11
"Woodlandcity",39802,"CA",31671,31.671,2.23,23.84,7.85,4187.9,NA,72.38,9.59,23.87,0.14320888397568,1972,4.65,67.42,74.4,427.78,1122.92,2371.38,692.81,109.27,574.25,4296.38,4870.63
"NorthBrunswicktownship",31287,"NJ",49900,49.9,3.91,16.13,3.08,2508.1,NA,81.65,2.67,29.32,0.025569725445073,1975,0,21.47,128.85,138.05,791.48,2294.69,536.86,24.54,288.37,3647.57,3935.94
"Springfieldcity",70487,"OH",21407,21.407,0.22,31.67,8.74,3485.1,101,62.98,20.87,46.39,0.00283740264162186,1946,8.49,83.45,294.21,1111.77,1362.13,5725.76,646.41,8.49,1497.92,7742.79,9240.71
"Richfieldcity",35710,"MN",32405,32.405,0.58,11.92,3.61,5009.5,NA,73.49,5.55,18.05,0,1956,0,26.92,112.22,198.54,1070.38,3239.91,480.52,14.39,337.68,4805.2,5142.88
